chr	pos	sample	meth_prop	cov
chr7	3001794	nsc_3_pat	0	1
chr7	3001829	nsc_1_mat	0	1
chr7	3001829	nsc_1_pat	NA	0
chr7	3001829	nsc_2_mat	1	1
chr7	3001829	nsc_2_pat	NA	0
chr7	3001829	nsc_3_mat	0.75	4
chr7	3001829	nsc_3_pat	0	1
chr7	3001856	nsc_1_mat	NA	0
chr7	3001856	nsc_1_pat	NA	0
chr7	3001856	nsc_2_mat	NA	0
chr7	3001856	nsc_2_pat	NA	0
chr7	3001856	nsc_3_mat	NA	0
chr7	3001856	nsc_3_pat	1	1
chr7	3001859	nsc_1_mat	NA	0
chr7	3001859	nsc_1_pat	NA	0
chr7	3001859	nsc_2_mat	NA	0
chr7	3001859	nsc_2_pat	NA	0
chr7	3001859	nsc_3_mat	1	1
chr7	3001859	nsc_3_pat	NA	0
chr7	3001892	nsc_1_mat	NA	0
chr7	3001892	nsc_1_pat	NA	0
chr7	3001892	nsc_2_mat	NA	0
chr7	3001892	nsc_2_pat	NA	0
chr7	3001892	nsc_3_mat	NA	0
chr7	3001892	nsc_3_pat	0	1
chr7	3001898	nsc_1_mat	NA	0
chr7	3001898	nsc_1_pat	NA	0
chr7	3001898	nsc_2_mat	NA	0
chr7	3001898	nsc_2_pat	NA	0
chr7	3001898	nsc_3_mat	NA	0
chr7	3001898	nsc_3_pat	1	1
chr7	3001931	nsc_1_mat	1	1
chr7	3001931	nsc_1_pat	NA	0
chr7	3001931	nsc_2_mat	0.5	2
chr7	3001931	nsc_2_pat	NA	0
chr7	3001931	nsc_3_mat	0.5	4
chr7	3001931	nsc_3_pat	1	2
chr7	3001952	nsc_1_mat	1	1
chr7	3001952	nsc_1_pat	NA	0
chr7	3001952	nsc_2_mat	1	2
chr7	3001952	nsc_2_pat	NA	0
chr7	3001952	nsc_3_mat	1	4
chr7	3001952	nsc_3_pat	1	2
chr7	3001964	nsc_1_mat	1	1
chr7	3001964	nsc_1_pat	NA	0
chr7	3001964	nsc_2_mat	1	2
chr7	3001964	nsc_2_pat	NA	0
chr7	3001964	nsc_3_mat	1	4
chr7	3001964	nsc_3_pat	1	1
chr7	3001973	nsc_1_mat	1	1
chr7	3001973	nsc_1_pat	NA	0
chr7	3001973	nsc_2_mat	1	2
chr7	3001973	nsc_2_pat	NA	0
chr7	3001973	nsc_3_mat	0.5	4
chr7	3001973	nsc_3_pat	1	2
chr7	3002021	nsc_1_mat	1	1
chr7	3002021	nsc_1_pat	NA	0
chr7	3002021	nsc_2_mat	0.5	2
chr7	3002021	nsc_2_pat	NA	0
chr7	3002021	nsc_3_mat	1	3
chr7	3002021	nsc_3_pat	1	2
chr7	3002051	nsc_1_mat	1	1
chr7	3002051	nsc_1_pat	NA	0
chr7	3002051	nsc_2_mat	0.5	2
chr7	3002051	nsc_2_pat	NA	0
chr7	3002051	nsc_3_mat	1	3
chr7	3002051	nsc_3_pat	1	2
chr7	3002089	nsc_1_mat	1	1
chr7	3002089	nsc_1_pat	NA	0
chr7	3002089	nsc_2_mat	1	2
chr7	3002089	nsc_2_pat	NA	0
chr7	3002089	nsc_3_mat	0.3333333333333333	3
chr7	3002089	nsc_3_pat	1	2
chr7	3002114	nsc_1_mat	1	1
chr7	3002114	nsc_1_pat	NA	0
chr7	3002114	nsc_2_mat	1	2
chr7	3002114	nsc_2_pat	NA	0
chr7	3002114	nsc_3_mat	1	3
chr7	3002114	nsc_3_pat	1	1
chr7	3002122	nsc_1_mat	1	1
chr7	3002122	nsc_1_pat	NA	0
chr7	3002122	nsc_2_mat	0.5	2
chr7	3002122	nsc_2_pat	NA	0
chr7	3002122	nsc_3_mat	0.75	4
chr7	3002122	nsc_3_pat	1	2
chr7	3002129	nsc_1_mat	NA	0
chr7	3002129	nsc_1_pat	NA	0
chr7	3002129	nsc_2_mat	NA	0
chr7	3002129	nsc_2_pat	NA	0
chr7	3002129	nsc_3_mat	NA	0
chr7	3002129	nsc_3_pat	1	1
chr7	3002136	nsc_1_mat	1	1
chr7	3002136	nsc_1_pat	NA	0
chr7	3002136	nsc_2_mat	0.5	2
chr7	3002136	nsc_2_pat	NA	0
chr7	3002136	nsc_3_mat	0.75	4
chr7	3002136	nsc_3_pat	1	1
chr7	3002145	nsc_1_mat	1	1
chr7	3002145	nsc_1_pat	NA	0
chr7	3002145	nsc_2_mat	1	2
chr7	3002145	nsc_2_pat	NA	0
chr7	3002145	nsc_3_mat	1	4
chr7	3002145	nsc_3_pat	1	1
chr7	3002162	nsc_1_mat	NA	0
chr7	3002162	nsc_1_pat	NA	0
chr7	3002162	nsc_2_mat	NA	0
chr7	3002162	nsc_2_pat	NA	0
chr7	3002162	nsc_3_mat	1	1
chr7	3002162	nsc_3_pat	NA	0
chr7	3002179	nsc_1_mat	0	1
chr7	3002179	nsc_1_pat	NA	0
chr7	3002179	nsc_2_mat	NA	0
chr7	3002179	nsc_2_pat	NA	0
chr7	3002179	nsc_3_mat	NA	0
chr7	3002179	nsc_3_pat	NA	0
chr7	3002208	nsc_1_mat	1	1
chr7	3002208	nsc_1_pat	NA	0
chr7	3002208	nsc_2_mat	0	2
chr7	3002208	nsc_2_pat	NA	0
chr7	3002208	nsc_3_mat	0.75	4
chr7	3002208	nsc_3_pat	1	2
chr7	3002368	nsc_1_mat	NA	0
chr7	3002368	nsc_1_pat	NA	0
chr7	3002368	nsc_2_mat	NA	0
chr7	3002368	nsc_2_pat	NA	0
chr7	3002368	nsc_3_mat	NA	0
chr7	3002368	nsc_3_pat	1	1
chr7	3002385	nsc_1_mat	1	1
chr7	3002385	nsc_1_pat	NA	0
chr7	3002385	nsc_2_mat	0.5	2
chr7	3002385	nsc_2_pat	NA	0
chr7	3002385	nsc_3_mat	0.5	4
chr7	3002385	nsc_3_pat	1	2
chr7	3002392	nsc_1_mat	1	1
chr7	3002392	nsc_1_pat	NA	0
chr7	3002392	nsc_2_mat	0.5	2
chr7	3002392	nsc_2_pat	NA	0
chr7	3002392	nsc_3_mat	0.75	4
chr7	3002392	nsc_3_pat	1	1
chr7	3002397	nsc_1_mat	1	1
chr7	3002397	nsc_1_pat	NA	0
chr7	3002397	nsc_2_mat	1	2
chr7	3002397	nsc_2_pat	NA	0
chr7	3002397	nsc_3_mat	1	3
chr7	3002397	nsc_3_pat	1	1
chr7	3002404	nsc_1_mat	1	1
chr7	3002404	nsc_1_pat	NA	0
chr7	3002404	nsc_2_mat	1	2
chr7	3002404	nsc_2_pat	NA	0
chr7	3002404	nsc_3_mat	1	2
chr7	3002404	nsc_3_pat	1	2
chr7	3002417	nsc_1_mat	1	1
chr7	3002417	nsc_1_pat	NA	0
chr7	3002417	nsc_2_mat	1	2
chr7	3002417	nsc_2_pat	NA	0
chr7	3002417	nsc_3_mat	0.6666666666666666	3
chr7	3002417	nsc_3_pat	1	2
chr7	3002461	nsc_1_mat	0	1
chr7	3002461	nsc_1_pat	NA	0
chr7	3002461	nsc_2_mat	1	1
chr7	3002461	nsc_2_pat	NA	0
chr7	3002461	nsc_3_mat	1	3
chr7	3002461	nsc_3_pat	1	2
chr7	3002470	nsc_1_mat	0	1
chr7	3002470	nsc_1_pat	NA	0
chr7	3002470	nsc_2_mat	0.5	2
chr7	3002470	nsc_2_pat	NA	0
chr7	3002470	nsc_3_mat	0.75	4
chr7	3002470	nsc_3_pat	NA	0
chr7	3002491	nsc_1_mat	NA	0
chr7	3002491	nsc_1_pat	NA	0
chr7	3002491	nsc_2_mat	NA	0
chr7	3002491	nsc_2_pat	NA	0
chr7	3002491	nsc_3_mat	NA	0
chr7	3002491	nsc_3_pat	0.5	2
chr7	3002508	nsc_1_mat	NA	0
chr7	3002508	nsc_1_pat	NA	0
chr7	3002508	nsc_2_mat	0	1
chr7	3002508	nsc_2_pat	NA	0
chr7	3002508	nsc_3_mat	NA	0
chr7	3002508	nsc_3_pat	NA	0
chr7	3002513	nsc_1_mat	NA	0
chr7	3002513	nsc_1_pat	NA	0
chr7	3002513	nsc_2_mat	1	1
chr7	3002513	nsc_2_pat	NA	0
chr7	3002513	nsc_3_mat	NA	0
chr7	3002513	nsc_3_pat	NA	0
chr7	3002529	nsc_1_mat	1	1
chr7	3002529	nsc_1_pat	NA	0
chr7	3002529	nsc_2_mat	0.5	2
chr7	3002529	nsc_2_pat	NA	0
chr7	3002529	nsc_3_mat	0.6666666666666666	3
chr7	3002529	nsc_3_pat	0.5	2
chr7	3002609	nsc_1_mat	NA	0
chr7	3002609	nsc_1_pat	NA	0
chr7	3002609	nsc_2_mat	0	1
chr7	3002609	nsc_2_pat	NA	0
chr7	3002609	nsc_3_mat	NA	0
chr7	3002609	nsc_3_pat	NA	0
chr7	3002649	nsc_1_mat	1	1
chr7	3002649	nsc_1_pat	NA	0
chr7	3002649	nsc_2_mat	0.5	2
chr7	3002649	nsc_2_pat	NA	0
chr7	3002649	nsc_3_mat	0.5	2
chr7	3002649	nsc_3_pat	1	2
chr7	3002661	nsc_1_mat	1	1
chr7	3002661	nsc_1_pat	NA	0
chr7	3002661	nsc_2_mat	1	2
chr7	3002661	nsc_2_pat	NA	0
chr7	3002661	nsc_3_mat	1	4
chr7	3002661	nsc_3_pat	0.5	2
chr7	3002664	nsc_1_mat	1	1
chr7	3002664	nsc_1_pat	NA	0
chr7	3002664	nsc_2_mat	1	2
chr7	3002664	nsc_2_pat	NA	0
chr7	3002664	nsc_3_mat	1	4
chr7	3002664	nsc_3_pat	NA	0
chr7	3002677	nsc_1_mat	1	1
chr7	3002677	nsc_1_pat	NA	0
chr7	3002677	nsc_2_mat	1	1
chr7	3002677	nsc_2_pat	NA	0
chr7	3002677	nsc_3_mat	1	3
chr7	3002677	nsc_3_pat	1	2
chr7	3002697	nsc_1_mat	NA	0
chr7	3002697	nsc_1_pat	NA	0
chr7	3002697	nsc_2_mat	1	1
chr7	3002697	nsc_2_pat	NA	0
chr7	3002697	nsc_3_mat	NA	0
chr7	3002697	nsc_3_pat	NA	0
chr7	3002717	nsc_1_mat	1	1
chr7	3002717	nsc_1_pat	NA	0
chr7	3002717	nsc_2_mat	1	2
chr7	3002717	nsc_2_pat	NA	0
chr7	3002717	nsc_3_mat	0.75	4
chr7	3002717	nsc_3_pat	1	1
chr7	3002726	nsc_1_mat	NA	0
chr7	3002726	nsc_1_pat	NA	0
chr7	3002726	nsc_2_mat	1	1
chr7	3002726	nsc_2_pat	NA	0
chr7	3002726	nsc_3_mat	NA	0
chr7	3002726	nsc_3_pat	NA	0
chr7	3002763	nsc_1_mat	1	1
chr7	3002763	nsc_1_pat	NA	0
chr7	3002763	nsc_2_mat	1	2
chr7	3002763	nsc_2_pat	NA	0
chr7	3002763	nsc_3_mat	0.75	4
chr7	3002763	nsc_3_pat	1	2
chr7	3002768	nsc_1_mat	1	1
chr7	3002768	nsc_1_pat	NA	0
chr7	3002768	nsc_2_mat	1	2
chr7	3002768	nsc_2_pat	NA	0
chr7	3002768	nsc_3_mat	1	3
chr7	3002768	nsc_3_pat	1	2
chr7	3002776	nsc_1_mat	0	1
chr7	3002776	nsc_1_pat	NA	0
chr7	3002776	nsc_2_mat	1	2
chr7	3002776	nsc_2_pat	NA	0
chr7	3002776	nsc_3_mat	1	4
chr7	3002776	nsc_3_pat	1	1
chr7	3002780	nsc_1_mat	0	1
chr7	3002780	nsc_1_pat	NA	0
chr7	3002780	nsc_2_mat	1	2
chr7	3002780	nsc_2_pat	NA	0
chr7	3002780	nsc_3_mat	1	4
chr7	3002780	nsc_3_pat	1	2
chr7	3002810	nsc_1_mat	0	1
chr7	3002810	nsc_1_pat	NA	0
chr7	3002810	nsc_2_mat	1	2
chr7	3002810	nsc_2_pat	NA	0
chr7	3002810	nsc_3_mat	0.75	4
chr7	3002810	nsc_3_pat	1	1
chr7	3002819	nsc_1_mat	1	1
chr7	3002819	nsc_1_pat	NA	0
chr7	3002819	nsc_2_mat	0.5	2
chr7	3002819	nsc_2_pat	NA	0
chr7	3002819	nsc_3_mat	1	4
chr7	3002819	nsc_3_pat	1	1
chr7	3002846	nsc_1_mat	0	1
chr7	3002846	nsc_1_pat	NA	0
chr7	3002846	nsc_2_mat	1	2
chr7	3002846	nsc_2_pat	NA	0
chr7	3002846	nsc_3_mat	0.5	4
chr7	3002846	nsc_3_pat	1	1
chr7	3002847	nsc_1_mat	NA	0
chr7	3002847	nsc_1_pat	NA	0
chr7	3002847	nsc_2_mat	NA	0
chr7	3002847	nsc_2_pat	NA	0
chr7	3002847	nsc_3_mat	NA	0
chr7	3002847	nsc_3_pat	1	1
chr7	3002854	nsc_1_mat	NA	0
chr7	3002854	nsc_1_pat	NA	0
chr7	3002854	nsc_2_mat	NA	0
chr7	3002854	nsc_2_pat	NA	0
chr7	3002854	nsc_3_mat	NA	0
chr7	3002854	nsc_3_pat	1	1
chr7	3002869	nsc_1_mat	NA	0
chr7	3002869	nsc_1_pat	NA	0
chr7	3002869	nsc_2_mat	NA	0
chr7	3002869	nsc_2_pat	NA	0
chr7	3002869	nsc_3_mat	0	1
chr7	3002869	nsc_3_pat	NA	0
chr7	3002873	nsc_1_mat	NA	0
chr7	3002873	nsc_1_pat	NA	0
chr7	3002873	nsc_2_mat	NA	0
chr7	3002873	nsc_2_pat	NA	0
chr7	3002873	nsc_3_mat	1	1
chr7	3002873	nsc_3_pat	NA	0
chr7	3002883	nsc_1_mat	1	1
chr7	3002883	nsc_1_pat	NA	0
chr7	3002883	nsc_2_mat	NA	0
chr7	3002883	nsc_2_pat	NA	0
chr7	3002883	nsc_3_mat	NA	0
chr7	3002883	nsc_3_pat	NA	0
chr7	3002885	nsc_1_mat	1	1
chr7	3002885	nsc_1_pat	NA	0
chr7	3002885	nsc_2_mat	1	2
chr7	3002885	nsc_2_pat	NA	0
chr7	3002885	nsc_3_mat	1	4
chr7	3002885	nsc_3_pat	1	2
chr7	3002890	nsc_1_mat	NA	0
chr7	3002890	nsc_1_pat	NA	0
chr7	3002890	nsc_2_mat	NA	0
chr7	3002890	nsc_2_pat	NA	0
chr7	3002890	nsc_3_mat	1	1
chr7	3002890	nsc_3_pat	NA	0
chr7	3002926	nsc_1_mat	NA	0
chr7	3002926	nsc_1_pat	NA	0
chr7	3002926	nsc_2_mat	NA	0
chr7	3002926	nsc_2_pat	NA	0
chr7	3002926	nsc_3_mat	0	1
chr7	3002926	nsc_3_pat	NA	0
chr7	3003117	nsc_1_mat	NA	0
chr7	3003117	nsc_1_pat	NA	0
chr7	3003117	nsc_2_mat	NA	0
chr7	3003117	nsc_2_pat	NA	0
chr7	3003117	nsc_3_mat	NA	0
chr7	3003117	nsc_3_pat	1	1
chr7	3003149	nsc_1_mat	NA	0
chr7	3003149	nsc_1_pat	NA	0
chr7	3003149	nsc_2_mat	1	2
chr7	3003149	nsc_2_pat	NA	0
chr7	3003149	nsc_3_mat	1	4
chr7	3003149	nsc_3_pat	1	1
chr7	3003161	nsc_1_mat	1	1
chr7	3003161	nsc_1_pat	NA	0
chr7	3003161	nsc_2_mat	0.5	2
chr7	3003161	nsc_2_pat	NA	0
chr7	3003161	nsc_3_mat	1	4
chr7	3003161	nsc_3_pat	1	2
chr7	3003184	nsc_1_mat	1	1
chr7	3003184	nsc_1_pat	NA	0
chr7	3003184	nsc_2_mat	1	2
chr7	3003184	nsc_2_pat	NA	0
chr7	3003184	nsc_3_mat	1	3
chr7	3003184	nsc_3_pat	1	2
chr7	3003188	nsc_1_mat	1	1
chr7	3003188	nsc_1_pat	NA	0
chr7	3003188	nsc_2_mat	1	1
chr7	3003188	nsc_2_pat	NA	0
chr7	3003188	nsc_3_mat	1	4
chr7	3003188	nsc_3_pat	1	2
chr7	3003190	nsc_1_mat	NA	0
chr7	3003190	nsc_1_pat	NA	0
chr7	3003190	nsc_2_mat	1	2
chr7	3003190	nsc_2_pat	NA	0
chr7	3003190	nsc_3_mat	1	4
chr7	3003190	nsc_3_pat	1	1
chr7	3003196	nsc_1_mat	1	1
chr7	3003196	nsc_1_pat	NA	0
chr7	3003196	nsc_2_mat	1	2
chr7	3003196	nsc_2_pat	NA	0
chr7	3003196	nsc_3_mat	1	4
chr7	3003196	nsc_3_pat	1	2
chr7	3003198	nsc_1_mat	1	1
chr7	3003198	nsc_1_pat	NA	0
chr7	3003198	nsc_2_mat	1	2
chr7	3003198	nsc_2_pat	NA	0
chr7	3003198	nsc_3_mat	1	4
chr7	3003198	nsc_3_pat	1	2
chr7	3003222	nsc_1_mat	0	1
chr7	3003222	nsc_1_pat	NA	0
chr7	3003222	nsc_2_mat	NA	0
chr7	3003222	nsc_2_pat	NA	0
chr7	3003222	nsc_3_mat	NA	0
chr7	3003222	nsc_3_pat	NA	0
chr7	3003239	nsc_1_mat	0	1
chr7	3003239	nsc_1_pat	NA	0
chr7	3003239	nsc_2_mat	1	2
chr7	3003239	nsc_2_pat	NA	0
chr7	3003239	nsc_3_mat	0.25	4
chr7	3003239	nsc_3_pat	0.5	2
chr7	3003453	nsc_1_mat	NA	0
chr7	3003453	nsc_1_pat	NA	0
chr7	3003453	nsc_2_mat	NA	0
chr7	3003453	nsc_2_pat	NA	0
chr7	3003453	nsc_3_mat	0	1
chr7	3003453	nsc_3_pat	NA	0
chr7	3003505	nsc_1_mat	NA	0
chr7	3003505	nsc_1_pat	NA	0
chr7	3003505	nsc_2_mat	NA	0
chr7	3003505	nsc_2_pat	NA	0
chr7	3003505	nsc_3_mat	1	1
chr7	3003505	nsc_3_pat	NA	0
